University/College,Ratings,Reviews,Source 
VIT Bhopal,"4.7
/5",1) Facilities to Students Ratio is 1:50 and faculties are quite friendly and helpful in nature and will really help students for their academics and also counsellor are there in college for any other things related to academics or non academic just one thing some faculties are strict to attendance and assignements 2 ) There will Be 2 exams in every semester mid sem and end sem . Mid sem will be of 50 marks and End sem of 100 . Exams are not much difficult like if you give attention in class you will easily gets really good grades . I will say for example out of 100 only 20-30 students can fail. Very updated curriculum and courses which are required for market skills are there to make you placement ready,Collegedunia
NIEPMD,"4.0
/5","Infrastructure is average, campus life especially with friends is very good, there is some water shortage problems in the new G7 building some times, There is no much celebrations here, they celebrate holi, diwali, pongal, and other OT and PT days. They need to work on extra curricular activities. Library is neat and clean, very good environment, all the books are available related to your course and degree, library is accessible and easy. Sports wise they merely conduct football once a year, they still have to work on promoting sports, there is no clubs or student social groups",Collegedunia
LTSU,"5.0
/5","Curriculum needs to focus on what you can do with information rather than the information itself. I wouldn’t eliminate content, without background we cannot form good, rational, and educated conclusions. We are still giving timed tests in math facts! I know that’s traditional, but it just isn’t as important. My era had no calculators and we needed to be proficient at paper and pencil solutions, but now, perfect calculations are available to everyone. We should focus on what kinds of problems can be solved with mathematics. Spelling is equally less important. Vocabulary should be stressed. My sister years ago was taking a test for a personal assistant position where she was asked to type a large number of words per minute error free. She was laughing at such a test. She said no one does that anymore, they just type then run spell check. Technology is changing our NEEDS opinion is that curriculum should reflect our reality. No one gets paid to solve problems that have already been solved. Students should be exposed to solving problems they have not seen before but that can be solve with the content they have learned in class. This will help them develop problem solving strategies they will be able to use the rest of their lives",Collegedunia
LPU,"4.1
/5",The faculty to student ratio is really good like 50:1. And if you ask them a doubt they will surely clear them The best faculty according to me is Dr.Kaundal which teaches me physics last semester.My wrost experience is with DrNarinder singh because i did'nt understood anything is his classThere are 2 class test of every subjest then midterm and then endterm on an average out of 70 in class 10 to 15 failed to clear atleast one subject,Collegedunia
DTU,"5.0
/5",1st year fee-219000 2nd year fee-229000 3rd year fee-239000 4th year fee-249000 There is present a scholarship for ST/Sc students. Student can take knowledge about scholarship at admin block. But student have proper document to fill for their scholarship,Collegedunia
VIT Vellore,"4.3
/5","When I joined the Integrated Mtech back in 2021, my fee structure was primarily determined by my category that I secured during councellung. My category is 2 that's around 1.6 Lakhs of tution fee. Caution fee is around 20k, admission fee around 10k. There are no other extra fee like lab fee or anythig everything that's related to academic will be included init and regarding hostel fee it varies from year to year and will be in between 90k to 1.40L. Regarding the categories there are 3 like category 1 with 96k per year, category 2 with 1.6L per year and category 3 with 2L per year. Regarding scholarships, if you are a district topper in rural school, the STARS scheme will cover your complete fee. There are many other scholarships but to avail them you should be top performer.",Collegedunia
VIT Chennai,"3.2
/5","vit publishes per annum tuition by category .for typica UG B.TECH cohorts the university iste category-1(lowest) tuition is 110000 ,category -2 195000, category -3 225000 . A refundable caution deposit",Collegedunia
GL Bajaj,"5.0
/5","THE APPROX FACULTY TO STUDENT RATIO IS 1:20 TO 1:25 WHICH ALLOW RESONABLE ATTRACTION DURING LECTURE FACULTY I APPRICIATED THERE ARE SEVERAL PROFESSORS WHO STAND OUT FOR CONCEPT CLARAITY , PRACTICE EXAMPLE MOTIVATING QUIDANCE FACULTY I FELT TO IMPPROVE - A FEW FACULTY MEMBER DEPEND ON PPT BASED TEACHING RATHER THAN INTERACTIVE EXPLANATION TYPE OF EXAM - INTERNAL ASSESMENT , PRACICAL , END OF SEMESTER THE FAILURE RATION IS VERY LOW",Collegedunia
SRCC,"4.4
/5","I have paid a total amount of 33,245 in my 1st year and almost same amount in 2nd year as well. This fees consists of all expenses regarding development, library, sports, Maintanence, security and all. Fees is almost same for GEN, EWS, OBC, I am not sure about fees structure of SC-ST. but fees for a PWBD candidate is significantly very low, I guess below 1000 something, As far As I know. And College provdie a lot of Scholarship opportunities to students of all years including Merit based scholarship, Need based scholarship and full fee concession as well.",Collegedunia
SVSU Meerut,"3.7
/5","The course was quite comprehensive and relevant. They covered all the fields of life sciences in depth- molecular biology, recombinant DNA technology (RDT), microbiology, biostatistics, instrumentation, and immunology, among others. The combination of both foundational and applied topics was the whole reason I chose the course at SVSU. In terms of preparationfor the real world applications, the curriculum does a great job in building clarity and founding strong concepts. For students aiming to prepare for GATE, NET, and higher research projects to delve into, the syllabus provides a strong foundation. Regarding improvements, the lab work could be more one-on-one rather than a bulk implementation, and more hands-on experience needs to be added to the course in comparison to the theoretical knowledge. Speaking of the examination pattern, it works in semesters, with the first one occurring in December, then around April, and the last one around June-July. Other than that, there are internal tests held bimonthly and project submissions before the examination session.",Collegedunia
Brainware University Kolkata,"4.3
/5","The campus life is very joyful of our campus with around 12000 students. The yearly annual program is full of joy with friends and also including faculty. Techfest like Smart India Hackathon(SIH) Internal Hackathon etc. are conducted by our university. Brainware University has two libraries, one is Central Library and another is Pharmacy Library. These libraries has sufficient ammount of books whichever are needed to our syllabus. Our university also conducts internal and external sports ( like football, cricket, gamming, carrom board, volleyball etc.) both among various departments and announced price for the winner team. Extracurriculum including workshop, National day, etc.",Collegedunia
IIBS Bangalore,"4.9
/5","For my Masters of Business Administration in IIBS ,the total fee for 2 years is 945000 and apart from the tution fee we have to pay for Semester fee for exams of 6000 rs. All the additional cost of fees are included in college tution fee itself. For hostel opting there will be an additional charge of 1.32 L. There is a Scholarship program also included in this based on the entrance exams like CMAT,MAT, XAT, IIBSAT. We also have Merit based scholarship for students during our schooling",Collegedunia
Delhi Metropolitan Education Noida,"4.4
/5","People who are focused on achieving something in life are not too concerned about campus life however its not as if that shouldn't be the case. Campus life is okayish to decent in DME however there are lots of conferences, carnivals and functions organised in the college. DME organises the Aloha Annual Cultural fest around March, Lakshya Annual Sports fest around October, Alumni Meets around February and certain other functions.The books and journals available in the library are diverse with orders placed even more every year for upgrading the intellectual garden. Classrooms are also well equipped with working ACs (which are repaired if working faulty), smartboards and comfortable seating arrangements. The college in the campus itself does not offer sports facilities but that does not hamper the organisation of inter-college or intra-college sports competitions because the same is done in the sister school of DME i.e. Mayoor International School. Or else the students travel to other colleges for the competitions. Most of the clubs in college like Meraki mental health cell, IPR cell, sports cell, cultural cell, placement cell among various others are headed by students themselves with the faculty supervisor acting only as a pillar in see throughing the success of the events organised by individual cells.",Collegedunia
CMRCET,"4.7
/5","At CMRCET internship opporthunties are available through college placement cell.The college encourages studnets to start internships from 2nd or 3rd year and many students secure internships during summer breaks. Stipends vary depending on the company the stadard average stipend is 15,000 per month .In few cases higly skilled students in product based may recieve slightly higher stipends. My overall rating would be 8/10 for internship expernice.The college grooms and preapres the students for real time working",Collegedunia
AIMS Institutes Bangalore,"5.0
/5","College provides odc for students that helps to built there career with some experience they provide odc for good hotels like taj leela etc that helps stude To built confidence for future to built there career they conduct practical exams like food and beverage services,food and beverage production, housekeeping,front office theory and practical exams",Collegedunia
Jinvani Management College Bhojpur,"5.0
/5","1. Fee Structure (Total Academic Course Fees) MBA: ?3,15,000 BBA: ?2,47,000 BCA: ?2,48,000 Hostel: ?75,000 per year (Separate for boys and girls) 2. Merit-Based Scholarships Awarded based on your GD & PI score 3. Financial Assistance Education Loans: Full support for students to obtain loans. Government Schemes: Benefits of the Bihar Student Credit Card (BSCC) are available to all students.",Collegedunia
AIMS Institutes Bangalore,"5.0
/5",We have good experienced faculty teaching us and we have practical wher we can learn by using real props and materials we we learn a lot of things and i like production practical where our chef ganesh teaches different kind of cuisines,Collegedunia
Oriental University Indore,"4.2
/5","The college provides decent internship opportunities through its placement and training cell. Students get internships in roles like marketing, HR, finance, data entry, and operations, mainly with local firms, startups, and online platforms. Some internships offer stipends ranging from ?5,000–?10,000 per month. The internships focus on practical projects such as market research, sales analysis, report preparation, and basic data handling. These experiences help students gain industry exposure, improve professional skills, and understand real-world work culture.",Collegedunia
Indian IHM,"3.9
/5",The couse i have applied is bachelor of culinary science In this curriculum the college offered me various cooking methods and cooking insights during the 1st year of the college During 2nd year we wear taught how to open a buisness and turn it into a profitable assets most of the 2nd year curriculum was about that In 3rd year we were have a 6 months internship in various hotels all over the country some were allotted abroad,Collegedunia
NSEC,"3.3
/5",mostly from end of third year students start getting campus placements and companies like TCS AND WIPRO HIRE MAJORITY of the students. The average package is 450000 and highest package every year goes upto 9-12 lakhs per annum. I want to go into core Electronics domain for which I am preparing for masters as no core electronics companies come in this college,Collegedunia
Srinath College of Pharmacy Aurangabad,"4.4
/5",Campus life in our college is good and balance along with Academics the college organize annual cultural festival sports events and pharmacy related programs like health awareness campus and pharmacy week celebration this activities help students improve communication skill and teamwork overall the environment is friendly and support you students get opportunities to participate in extra curricular activities while focusing on their studies,Collegedunia
SAGE University Bhopal,"4.8
/5","The College hosts to events one is Equinox and other is Swarnim that makes a boost to the college life for students. The both the events have been successfull and have a wide range of activities where one can participate. College even has clubs like Rotaract club , Coding Club etc for over-all development and engaging students in vast activities .",Collegedunia
Delhi Metropolitan Education Noida,"4.4
/5","Faculty is friendly and have a good relationship with students. They are very approachable and helpful. All of the faculty members are good in the course of BAJMC. I personally didn't find any faculty disliked ever. There are class tests, internal exams and external exams along with practicals. If you study the exams are passed easily. Only 3-5% of the students fail to clear the exam.",Collegedunia
Delhi Metropolitan Education Noida,"5.0
/5","DME has to main annual festivals, Aloha and Vritika. They are huge, immense festivals featuring hundreds of events, stalls, participants and competitionss, taking place during February and November respectively. There are many other events as well, such as international research conference ICAN, frequent speaker events and more. There are multiple student societies and clubs featuring sports, debate, production, dance, music, theatre and art.",Collegedunia
LJ Institute of Computer Application Ahmedabad,"5.0
/5","i am currently pursing master of Computer Application(MCA) at LJ institute of compuer applications, LJ University. The total duration of the course is 2 year(4 sem).The detailed sem-wise fee structure is as follows: Total course Free is 2,47,000. Sem - 1 : 69,000, Sem 2-4 are 59,000 each. Tuition fee is 54000 per sem with no major fee increase. i pay regular category fees with scholarship of Digital Gujrat which is 20,000 each Year",Collegedunia
SRM Easwari,"5.0
/5","I like all my faculties in our Department . Our Beloved HOD sir - Dr.P.Gopi , The best and a very supportive HOD of our department . Other faculties Dr.V.Vinoth , Dr.Paulmar Pushparaj , Dr . Murugu Nachiappan , Dr.P.Sarangapani, Dr.P.Pathmanaban , Dr.G.Sriharan . All the faculty are extremely friendly and they teach very well in and out of the textbook.",Collegedunia
RNSIT,"3.9
/5","There are more than 300 faculties. The faculty student relationship is good and they are very much approachable. I liked Rakesh sir who took physics in 1st semester. He was also our class teacher. He tecahes really well and also a very good hearted person. I also liked Vaibhavi mam who takes math , she teaches really well. Also Dr Jeevananda ( chemistry HOD) is a very well experienced teacher who has lot of knowledge. He is very inspiring. Anu mathews mam she is also very good teacher when it comes to technical subject like python She thought it in vert practical way by showing us eacha and every error and Dr Bharath who handles CAED is also very good at teaching. These are the teachers I liked as of now ( 1st year). Nothing like I disliked any teacher but I was not okay with a mam who handled C programming, she used to rush out the ppt slides and waste time at the end of class, this happened every time of which I am not okay with. There will be 2 internal assessments per semester and one final exam per semester. The syllabus follows VTU guidelines and it's good.",Collegedunia
Shree Swami Atmanand Saraswati Institute of Technology Surat,"3.5
/5","Bechlors of engineering fees for me is 73000 per year, but for they have increased fees around 80300 for newer addmissions. Apart from that thier is another fees for library and extra activities which is 7000 for me but, its refundable after the completion of program. fees for all categories students is same. thier is multiple scholarships available for students but they are not provided by collage its provided by gujrat goverment and other organizations but admin staff provides documents and guide for apply and get scholerships as per my knowledge the major scholarships one student can get is TFWS quota it has only 6 seats in program and students will get 100 free education who are eligable while gettting admission then students who got more than 80% in 12th get 50000 or 50% scholarship per year then every student get digital gujrat 20000 scholership",Collegedunia
AIMS Institutes Bangalore,"4.7
/5","We celebrate Ganesha and Basant Panchami along with farewell and freshers day The library gives us wide range of books of every department of different authors The college provides us with a sports and gym room and we participate in various inter and intra competitions Yes there are various groups clubs formed in our college related to HR, marketing and also rotary clubs",Collegedunia
AIMS Institutes Bangalore,"3.8
/5","Campus life is good and enjoyable. The college conducts cultureal events where participate in food festivals, competitions, sports and cultural programs.many more. The library has a good collection of hospitality books and other courses also there, in our course we have two clubs gourmet (production and service) and astra club (housekeeping and front office) and I our college we have Rotaract club also and many more",Collegedunia
LJ University,"3.6
/5",The placement of our college is good well managed by cordinator and head sir whoes under placement cell is under 30% of students are placed rest 35% placed at office campus and the remaining has still didnot get placed but faculty are helping them to get placed as soon as possible while helping them telling what should they must improve,Collegedunia
Alva's Institute of Engineering and Technology Mangalore,"4.5
/5",Chosen the be in computer science and engineering with specialisation iot and cyber security including blocks in technology since I am very interested in cyber security cyber security in iot devices and build real world projects based on the iot devices and sensors,Collegedunia
SAGE University Bhopal,"4.0
/5","I belong to the general category and have paid ?140000 in first year and 125000 in 2 nd , 3rd and 4th year . Total course fess amount to 515000 My batchmates from ST/SC Category paid approximately 35000 to 50000 per year after scholarships reimbursement",Collegedunia
SAGE University Bhopal,"3.3
/5",fees is slightly high and about my bacth mates there fees vary according to scolarship and lead courses. About scholarship we are provided by government scholarship like pms scholarship . other cast like st and sc are provided with scholarship and there fees is less as compared and sill gets more scholarship by government..,Collegedunia
Sanskriti University Mathura,"3.9
/5","When I first took admission in the BPT course at Sanskriti University, I remember sitting with my parents and carefully noting down every single fee detail. For the General category, the tuition fee was around 90,000 per year, but the first year felt a little heavier because along with tuition, we had to pay admission and registration charges (around 10,000–20,000), a refundable caution fee of about 5,000, and some compulsory charges like exam fees, lab fees, and student activity feesWhat I noticed among my batchmates was that students from SC/ST and some OBC categories were relieved because many of them applied for government scholarship or fee reimbursement schemes. Initially, they also paid some basic charges, but later a major portion of their tuition was reimbursed, which reduced their financial burden a lot.",Collegedunia
JIMS Kalkaji,"1.3
/5","My campus life is not that great as I previously mentioned that the campus is very small. Recently a fest called Zest was conducted which included many competitions and a cultural fest. There are also a lot of books and journals available in the library but a lot of them are quite outdated. Classrooms are well equipped with infra but lack extension chords for charging laptops. Most importantly, the labs are very small, having a capacity of only 30 students. So the PGDM students cannot go to the labs and have to bring their own laptops everyday as our class size is of 60 students. Sports and extra curricular activities are also conducted from time to time, but student run clubs are very low on activities.",Collegedunia
AIMS Institutes Bangalore,"4.9
/5",The faculty are very kind hearted and generous and try to help the students in any kind of doubts or difficulties in the career of hotel management The faculty who I like the most is Ganesh chef The chef is highly skilled and has a very unique talent of cooking which makes him a special person and his coordination with the students as fantastic There is no such faculty that I didn't like all the faculty members are very good and generous to the students The exams are gradually easy but you have to study and the things which the teacher teachers if you study those you can easily for the exam because the teachers are highly skilled and no what will come for the exam so the revise it and the prepare us to write the exams in a positive manner,Collegedunia
VGEC,"4.3
/5","Yearly Tuition Fess - 3300 rupees for Boys and For girls it will be very less. Then exam fees will be 1700 rupees and 300 rupees was also for affiliation fees by university . so roughly fess will be around 6 to 7.5k rupees. admission fees we have given was also 300 rupees for acpc counselling and for TFWS students(tuition fee waiver scheme) tuition fee was deducted. And for merit based there was one scholarship named Digital Gujarat scholarship which was given around 10k rupees every year which covers our extra expenses on books, lab equipments,etc. Students who does not get fail in any semsters will get scholarship and these scholarship was for EWC , OBC/SEBC , SC and ST caste.",Collegedunia
Berhampur University,"2.9
/5","The fees at Berhampur University generally remain stable. Since it is a government regulated university, there is no regular yearly fee hike like private colleges. Changes happen only if the state government revises the structure, which is rare, so students admitted in a batch typically pay almost the same amount throughout the two years. The addmission amount for M.sc Electronic is 8212(1st year) 1612( 2nd year) Each semester fee around (1000 to 1500) One time seminar fee (1000 to 2000) For hostel 20000 to 22000 for 2 year (meal not include) Mess food par meal 35 rupees/- In a month compulsory 40 meal (1400 to 2100)",Collegedunia
KPRIET,"4.6
/5","my Overall experience has been Poitive and balance. The college conduct both technical and non technical events and the college fest it was usually in feb-mar which include Symposiums, tech nad non tech events,cultural event DJ nights etc The library provides a good collection of tet books, refernce books,journals and digital computers the classroom are well equipeed with Projectors, smart boards and WiFi. there ar e so many sports,NCC,NSS,IEEE and technical and non technical club laso there",Collegedunia
IGNOU,"4.0
/5",I would read the IGNOU courses curriculum has good in terms of relevance and comprehensiveness the syllabus is well structured and design for distance learning with study material explain concept clearly and support service study this flexibility and affordability for the main reason I choose this course the curriculum provides are strong theoretical foundation and is useful for father studies as well as basic professional knowledge how ever Addy more practical exposure life internet is session and update industrial oriented content could make the course even better IGNOU conductor and examination twice a year along with compulsory assignment that contribute to the final marks the exam schedule is convenient and difficulty level is moderates student to follow the study materials and cement on the time can clear the exam without much difficulty or all the curriculum is student friendly relevant and su suitable for learner who prefer flexible higher education while managing other responsibilities.,Collegedunia
Delhi Metropolitan Education Noida,"4.6
/5",Business is needed for every field and this institution provide hand in experience along with the course study to students to excel in their career Numerous courses like six sigma belt Data analytics Soft skills and management And professional image and Management That contributes in real life beneficiary of child Value added courses and chance of getting into IIM for competition and college participation,Collegedunia
NSUT,"4.3
/5","I choosed this course not on the basis of curriculum but on the basis of outcomes. Curriculum is old and not real world based, professors also have limited knowledge. Course Curriculum should be made more advanced and professors should be trained well.",Collegedunia
DDU,"4.4
/5","DDUGU did not held any technical fests but A 9-day book fair held every year in early November at the university campus.Computers with internet access for research and study.Online databases and digital learning resources.Workshops (like. on research tools, online platforms like Manupatra).Indoor games (Table Tennis, Judo, Taekwondo, Yoga).Outdoor fields for Football, Cricket, Volleyball. I don't know more about social groups r student portals. But i enjoyed very much my campus life",Collegedunia
ISME,"5.0
/5",The course subjects are very relevant and the ACCA course is partnered with ISTC. The faculty is outsourced for ACCA. The curriculum prepares you for the real corporate world and prepares you for their expectations and tasks There is no area for improvement as everything is as per requirements.,Collegedunia
ISME,"4.7
/5","The infrastructure is good, classrooms maintained which helps a student focus and have the will to attend college and study. The college focuses on diversity and celebrates all festivals and cultures, respecting people from all backgrounds. From Holi and Diwali to Christmas. The college also hosts CIM, TedX and many guest lectures. The college provides labs for the BCA students with a 100+ computers aiming for effectiveness. Sports activities ranging from swimming, basketball to table tennis is encouraged. People with individual interests are encouraged to take part and excel. ISME supports the Student Development Council who help the students and reach out personally in multiple fields from technical,cultural and sports.",Collegedunia
ISME,"3.1
/5","My overall experience with campus life has been enriching and well-balanced, offering both academic growth and vibrant social engagement. The campus environment encourages students to participate actively in cultural, technical, and extracurricular activities, which helps in building confidence, teamwork, and leadership skills. One of the highlights of campus life is the annual and technical festivals. Our annual cultural fest, [buzibuzz], is usually held in [Marvh], and it includes music performances, dance competitions, fashion shows, drama, and literary events. It brings together students from different departments and even other colleges, creating a lively and energetic atmosphere. The technical fest , focuses on innovation and knowledge-sharing through workshops, hackathons, paper presentations, coding contests, robotics events, and guest lectures by industry experts. These festivals not only provide entertainment but also enhance practical learning and networking opportunities.",Collegedunia
Invertis Institute of Engineering and Technology Bareilly,"3.9
/5","The fee of the B.Tech in Computer Science and Engineering is 100000 per year and a examination fee 6000 per year and 300 per year for insurance and one time fee for uniform and stationary is 6000 and 1700 respectively. the fee is so much affordable as compared to any other private university in india, My reason to take admission in it also contains the fee affordability. And in it Up goverment also provides scholarship for students of up And national scholarship is also applied in it and the university also provides discount in first year on based of merit. and the hostel fee of the university also so much affordable and the facility of the hostel is so much good the fee is about 65000 per year for four occupancy room",Collegedunia
CET Trivandrum,"4.6
/5","It's a government college so the fees are decided by the government for each semester. During my course time the first semester fees is around 10000 and second semester fees is around 5000. The odd semester fees is higher than the even semester fees. Overallthe annual fees is around 15000, excluding the exam fees.The exam fees is approximately 2500 to 3000. There are also many scholarship avilable, such as scholarship such as E-grants , scholarship from SBI and GATE stipend. GATE qualified students get 12000 per month as stipend",Collegedunia
SSIPMT,"4.0
/5","Faculty–Student Ratio: Approx. to 1:25. Most faculty members are qualified (M.Tech/PhD) and experienced. Includes theory subjects, practical labs, mini-projects, and majoLiked faculties who explain concepts clearly and give practical examples. r project in final year.",Collegedunia
K.R. Mangalam University Gurugram,"3.7
/5","My overall experience with the university is positive. The campus environment is friendly and socially active with students from different backgrounds interacting freely. The university organises annual cultural fests and tech events usually held during the spring sem , where students participate in competition, performances , hackathons and workshops. There are various students club which students can join these clubs helps students build communication skills , leadership quality and teamwork.",Collegedunia
SSIPMT,"4.9
/5","1 faculty is there for 25 students.They proper take care us boost our energy and they are very friendly.I like all facilities there is no one whom I don't like some are very friendly and some are like our parents strict but they want to make our future bright and want that we can grew up independent.There are 3 exam CT1 ,CT 2 and End sem exam ,Exam are moderate for us because if we study hard then our exam is very easy for us and the questions are come from question banks only the faculty provide us . We don't have to suffer from any loss",Collegedunia
SSIPMT,"5.0
/5",The college host vibrant annual and technical festivals that create an energetic campus atmosphere annual cultural fests like a agresita is held featuring music dance drama and literary events technical festivals are also organised and the project exhibitions at taking place please events encourage creativity innovation and teamwork among students library offers a wide range of academic test books reference materials Classrooms are well equipped with smartboard projectors Wi-Fi connectivity that support interactive teaching method computer labs are also provided with updated software relevant to the course curriculum,Collegedunia
SSIPMT,"3.9
/5","yearly fees - 84000rs sports fee - 250rs caution money - 1500rs tuition fee - 40200rs reservation category sc/st - 25000rs obc - 21000 rs transport (bus) - 20000rs I am a candidate for TWF (tuition fee waver) , by which i get a benifit for free education , for all 8 semesters .",Collegedunia
SSIPMT,"4.0
/5","Annual cultural event, Usually conducted once a year (mostly February–March). Includes: Dance & singing competitions Fashion show Drama & cultural performances DJ night Technical fest, Organized typically between September–November. Includes: Coding competitions Technical quiz Paper presentations Poster presentations Robotics/basic project showcases. Library and books Central library with engineering textbooks for all branches. Covers: Core engineering subjects Competitive exam books (GATE basics, aptitude) Reference books by standard authors Some national & international journals available. Seating capacity decent for exam preparation. Accessibility: Easy issue/return process. Calm study environment. Not extremely high-tech but functional and sufficient. Classroom and technical fecilities Smart Classrooms Projectors in most rooms. Whiteboards + digital presentations. Decent seating and ventilation. Computer Labs Dedicated labs for CSE/IT. Internet connectivity available. Basic software tools installed. Sports Facilities: Cricket ground Football ground Volleyball court Badminton court Indoor games (carrom, chess, table tennis) Sports competitions conducted at: Inter-department level Inter-college level (occasionally) Students clubs, Coding/Technical Club Cultural Club Sports Committee NSS (National Service Scheme) Event Management Teams",Collegedunia
SSIPMT,"4.6
/5","My overall experience with campus life has been positive and enriching, especially in terms of social interaction, extracurricular involvement, and infrastructure. The campus environment is friendly and inclusive, which makes it easy to build connections and participate in various activities beyond academics. The college organizes annual cultural and technical festivals such as Tech FestThe campus also offers various sports facilities including cricket,",Collegedunia
SSIPMT,"4.3
/5",I was interested in tech field that's why I choose to presume b.tech . I choose ssipmt raipur because I got the nice review of this college. There is idea lab which help us with real life experience and creativity. And the hackathon that held in our college.,Collegedunia
SSIPMT,"4.5
/5",I am interested in computer and coding skills that's why I choose this course They provide us proper programming class and also professional communication skills class to enhance our personality and toastmasters also play major rule to built our confidence to face crowd and lead perfectly Sometimes they insult very much of students that's not correct and always targeting one is not good They can increase the timing of exams it's not sufficient,Collegedunia
SSIPMT,"5.0
/5",Persnolly i liked all the faculties of 1st year as j am first year students teachers are helping nature with good holding of their knowledge . The course for btech is based on csvtu syllabus . For every subject 2 class test are conducted and best of the two scores are given which is benigicial for students .,Collegedunia
SSIPMT,"4.1
/5",Infosys samsung hashira and there many companies which give internship there are many students in college who are doing internship with stipend The course included several projects that helped clarify practical tasks For example mini projects and lab assignments allowed us to apply theoretical concepts in real situations,Collegedunia
SSIPMT,"4.6
/5","College curriculum is changing as per the time change for now the world of Artificial intelligence college offers courses in that field was like interest of things , data science, AL and cybersecurity And college have idea lab which provides college to start there own startup and work with real life problems and aicte was A+",Collegedunia
SSIPMT,"4.0
/5","The yearly fee is 85000, and the hostel fee is 64200 for the whole year with including the mess. 1500 is the caution fee and the sports fee is 250 tution fee is 40200 per semester. There is also the facility of tution fee waiver in which a student only has to pay sports fee, caution money and not the tution fee",Collegedunia
Rajiv Academy for Technology and Management Mathura,"4.0
/5","The college has very good Faculty member like Mayank Sir and Gaurav Sir these Faculty are Good For Students Future. And the structure is we have 5 Reading Subjects like JAVA ,DSA , DBMS , POM, and Mathematics also And There is Semister wise System and In one semister Having 3 Exam Like 1. Sessional 2. PUT 3. UT. UT is University Text or Exam this is Final Exam in One semister and Tere has 100 marked Per subject and tere is 50 Marks for theory and 50 for internal marks so the internal marks are given by Our collage faculty and Another theory marks are Given by university faculty which is in Agra(u.p).",Collegedunia
LPU,"4.4
/5","I have completed my course from lovely professional university (LPU),Punjab. the year tution fees for my program (B.tech) was around 1.4-1.6 lakhs before scholarship. in the first year i paid around 120000 . additionally , there was a one time admission fees of about 10000 which is refundable also if student deny to take admission and examination fees of around 4000 per semester. registration and enrollment fees included in program fees. i received 40% of scholarship through LPUNEST EXAM that was conducted by lpu only. fees slightly increses for new batches but remain fixed for enrolled student. overall affordability depends on scholarship support",Collegedunia
Poornima University Jaipur,"4.8
/5","There are two mid term and one end term in semester. College is affiliated from RTU,Kota. Facuylty student ratio ius 15:1. very friendly student relationships and faculties getting approachable and things getting done within short span of time. Head Hods very supportive while communication gap is getting worsen or in case bridge is not build. Some faculties are over obessed with irregular direction anbd creating fuzz logics and even dramas.",Collegedunia
BGS College of Engineering and Technology Bangalore,"5.0
/5","Our college offers yearly fees of 500000 per annum for management quota, 310000 per annum for COMEDK and 145000. I got a seat in this univertsity under COMEDK and I pay 310000 yearly. Our college also offers scholarships for students. My friend has got a seat in this university under Management quota and pays 500000 anually.",Collegedunia
BGS College of Engineering and Technology Bangalore,"4.7
/5",the student to teacher ratio is quite good. all teachers are familiar with all students and provide attention individually. they also are available throughout for any doubt clarification or guidance. teachers are very keen about teaching and provide good exposure to real time evolution of tech. Mr. Satisha from CSE Dept. is very supportive and motivating Mrs. Rohini C. from CSE Dept. is friendly there are 3 internal tests for 50 marks each sem,Collegedunia
BGS College of Engineering and Technology Bangalore,"5.0
/5",I chose this course as a student immensely interested in the field of computer science.The curriculum is well suited to the students needs and the demands of the real world applications. I wish the curriculum focused more in practical aspects rather than theory.,Collegedunia
BGS College of Engineering and Technology Bangalore,"5.0
/5","faculty to student ratio is good and teachers are very friendly and very easy to approach . and all the faculties are very good faculties explain very well, and topics are easy to understand Mrs Rohini C - very friendly teacher, explains well Mrs Vani - very supportive and guides well we have 3 internals exams exams are easy , many of them cleae their exams,",Collegedunia
MDU,"1.8
/5",i have completed my coures form maharshi dayanand university . it is a govt university thera is a fees slave in my coures 5000 for the year coures fees are aprovide by govt. There is no tuition fees . there no caution fees also tere is no registration fees there is admission which are aproved by the govt. over the year govt rase the fees . i dont no about the any scholarships,Collegedunia
AIMS Institutes Bangalore,"5.0
/5",I'm very interested in cooking so I choosed hotel management First I visited KlE college Banglore. In KLE college I didn't like the kitchen and restaurant even the classroom because it's not good even they didn't maintain hygiene. Even in the kitchen they don't have more equipment's After I visited AIMS I liked the the kitchen infrastructure and restaurant etcc Whenever I spoke with the faculty members they made me feel very comfortable and treated me like family. During my admission process the guide me and taugh me many important things. I truly liked the college and faculty members. The placement opportunities were also very good and they even offered opportunities to work in abroad,Collegedunia
LJ Institute of Computer Applications,"3.0
/5","For the faculty to student ratio 1:60,and most professor are approachable mentors who priority prectical leaning and explain the easily all subjects. Dr.Bhavin shah are highly respected for their industry Knowledge , while some students feel that junior faculties are very strict about attendance.",Collegedunia
Amity University Kolkata,"4.6
/5","1. Amiphoria- A blast of annual sports meet for Amity Kolkata. It is a 3 day event where art, culture and sports are taken into consideration. There is music, food and lots more. 2. Frehers do play a good part this a sthey have themed based. There are events celebrations as well. 3. There are smart board given inside class and alos labs. 4. Sports meet and annual sports are also held here. Inter colge and inter departments are taken into consideration.",Collegedunia
KIT Kanpur,"3.6
/5","Overall experience with college was okay okay that was not too much good . Campus life was good and there were some cultural fests were also organised annually in colleges like enginous , freshers party and farewell party. There were sports and extra curricular activities also offered oncampus.",Collegedunia
